text,user,location,Subject,state
" Donald Trump Jr. said covid-19 deaths are at 'almost nothing.' The virus killed more than 1,000 Americans the same day. https:‚?¶",brianaugust19,"Nashville, TN",Donald Trump,Tennessee
" Biden couldn‚??t fill a high school gym, but Donald Trump (????èº) is behind in the polls? ",DonWhisonant,"Winter Park, FL",Donald Trump,Florida
" GDP rose last quarter, but visits to food banks haven‚??t slowed, and poverty has grown. We‚??re on track for the worst economic‚?¶",acowan25,"Los Angeles, CA",Donald Trump,California
 OH MY GOD!  My Daughter DID IT AGAIN!During her Morality &amp; Social Justice class they asked her a classic morality quest‚?¶,hrk4kamala,"Stoneham, MA",Donald Trump,Massachusetts
" Donald Trump Jr., wearing a pullover emblazoned with his own first name, repeatedly claimed on Fox News tonight that cor‚?¶",JoeWilder01,"Texas, USA",Donald Trump,Texas
 Pollak: 11 Shining Successes of President Donald Trump‚??s First Term  via ,mamendoza480,"Arizona, USA",Donald Trump,Arizona
 Susan Collins packed the courts when she voted to confirm 181 of Donald Trump and Mitch McConnell's far-right judicial nomi‚?¶,LisaMareeLoring,"Blue Earth, MN",Donald Trump,Minnesota
 Donald Trump is a dipshit. The presidency is no place for a dipshit.,Toni58623231,"Carmel, IN",Donald Trump,Indiana
" Like Donald Trump,  has lied to its audience about this virus for nine months. They all have blood on their hands.",PMasalsky,Massachusetts,Donald Trump,Massachusetts
" Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott‚?¶",UMich_Buckeye,"Ann Arbor, MI",Donald Trump,Michigan
       It‚??s about Donald Trump buying the vote of black‚?¶,Ellelque,"Winter Haven, FL",Donald Trump,Florida
" Donald Trump Jr. said covid-19 deaths are at 'almost nothing.' The virus killed more than 1,000 Americans the same day. https:‚?¶",KatSimkhovitch,"Volusia County, Florida",Donald Trump,Florida
"    Donald Trump is the single largest cause of misinformation about the coronavirus pandemic,‚?¶",Anclaire22,"Maui,HI",Donald Trump,Hawaii
" Biden couldn‚??t fill a high school gym, but Donald Trump (????èº) is behind in the polls? ",jolynne815,North Carolina,Donald Trump,North Carolina
 At the precise moment Donald Trump was impeached for expressing concern about potential Hunter Biden corruption in Ukraine‚?¶,LindsayNicole6,"Las Vegas, NV",Donald Trump,Nevada
" Philly DA Throws Down Over Trump Poll Watchers: We Won't Be Cowed By A 'Despot'. ‚??Break the law here, and I‚??ve got somet‚?¶",BoogidFfskw2002,"Alaska, USA",Donald Trump,Alaska
 Pollak: 11 Shining Successes of President Donald Trump‚??s First Term  via ,TexasTropgal,"Las Vegas, NV",Donald Trump,Nevada
 There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect‚?¶,markmcc56152950,"Runnemede, NJ",Donald Trump,New Jersey
 This story holy shit! ,lizard817,"Florida, USA",Donald Trump,Florida
"Opinion: Donald Trump: I've kept my promises to Michigan with jobs, prosperity - The Detroit News ",filam916,"Sacramento, CA",Donald Trump,California
 Lil Wayne said Black Lives Matter has nothing to do with him because he‚??s rich. Now I understand why he supports Donald Tr‚?¶,B3TO_17,"Maryland, United States",Donald Trump,Maryland
" GDP rose last quarter, but visits to food banks haven‚??t slowed, and poverty has grown. We‚??re on track for the worst economic‚?¶",vietnamvetman,"New York, USA",Donald Trump,New York
 . on Lil Wayne endorsing Trump: ‚??I‚??m really sick of you gremlin degenerates who come out here and push‚?¶,melanated_lady,"Baltimore, MD",Donald Trump,Maryland
 These beautiful Gray Wolves were protected by the Endangered Spies Act....but Donald Trump has just stripped them of t‚?¶,DerekAWynne,"Indiana, USA",Donald Trump,Indiana
" Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott‚?¶",catagra44,"Houston, Texas",Donald Trump,Texas
 The FBI was investigating Hunter Biden's overseas business deals in December 2019 while Donald Trump was being impeached‚?¶,__DJWilson,"Florida, USA",Donald Trump,Florida
" Biden couldn‚??t fill a high school gym, but Donald Trump (????èº) is behind in the polls? ",bjdcmom,New York,Donald Trump,New York
 Shoutout to Lil Wayne  for endorsing Donald Trump! I'm glad that he can recognize what the President is doing‚?¶,WildAboutHarry9,"Denver, CO",Donald Trump,Colorado
 Pollak: 11 Shining Successes of President Donald Trump‚??s First Term  via ,MrSpargel,"Honolulu, HI ",Donald Trump,Hawaii
 Mainstream media and their friends in Silicon Valley have covered up and actively suppressed the Hunter Biden corruption‚?¶,KimMAGA2020,"Alabama, USA",Donald Trump,Alabama
 Wanted: assessment of why Bush-era war criminals are suddenly the darlings of the Rachel Maddow #Resistance-and-smart glasses‚?¶,Jimmymack010,"Texas, USA",Donald Trump,Texas
 At the precise moment Donald Trump was impeached for expressing concern about potential Hunter Biden corruption in Ukraine‚?¶,bjdcmom,New York,Donald Trump,New York
" Biden couldn‚??t fill a high school gym, but Donald Trump (????èº) is behind in the polls? ",AKAGoldenBoy,"Los Angeles, CA",Donald Trump,California
" Voted yesterday for the best President in history, Donald Trump!!!‚ù§Ô∏è.....Even though it probably w‚?¶ ",CarolineMakowi1,"Massachusetts, USA",Donald Trump,Massachusetts
" Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac‚?¶",Meidas_Steve,NJ,Donald Trump,New Jersey
" Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott‚?¶",KenWarnock,"Royal Oak, Michigan",Donald Trump,Michigan
" A small, clear, easily grasped parable of shameless, committed corruption. ",laurmili1,"California, USA",Donald Trump,California
 There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect‚?¶,acehanna54,"Brooklyn, NY",Donald Trump,New York
 TONIGHT:¬†How will the booming economy help President Donald Trump at the polls on Tuesday?  joins ‚??Hannity‚?ù‚?¶,PVBTrust,"Florida, USA",Donald Trump,Florida
 This is like when Martha McSally filibustered earlier this month when she was asked if she was proud of supporting Donald Trump.,OrranVoriel,"Tampa Bay, Florida",Donald Trump,Florida
 The real issue here is that Nancy is an obstructionist wanting her own policy and ideas.  The reason more hasn‚?¶ ,JP999777,"Harrisburg, PA",Donald Trump,Pennsylvania
 There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect‚?¶,loyaltotruth1,NY,Donald Trump,New York
 There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect‚?¶,TamiPaul11,"Myrtle Beach, SC",Donald Trump,South Carolina
 Fraudsters Used Doctored Invoices to Steal Cash Earmarked for Trump's CampaignThe Republic‚?¶ ,InfoSecResource,"Carlsbad, CA",Donald Trump,California
    #PAIN???If¬†Donald Trump¬†had got his way I wouldn‚??t be speaking to Yusef Salaam right no‚?¶,cherrybombs21,"Chicago Heights, IL",Donald Trump,Illinois
 We have to act. America is at a fork on the road and the path that Donald Trump has been taking us on is deadly. We have‚?¶,sloppyjonite,"5th district, AL",Donald Trump,Alabama
     Man we all know that shit is about tax cuts l‚?¶ ,zimaricarter,"Atlanta, GA",Donald Trump,Georgia
" GDP rose last quarter, but visits to food banks haven‚??t slowed, and poverty has grown. We‚??re on track for the worst economic‚?¶",1RahatKhan,"Florida, USA",Donald Trump,Florida
" Republicans came down harder on Alexandria Ocasio-Cortez for wearing $14,000 worth of clothing in Vanity Fair than they d‚?¶",wbillo,"Syracuse, NY",Donald Trump,New York
 ‚??They lied to you about Donald Trump. They lied about Brett Kavanaugh. They lied about children in cages. Hell- they eve‚?¶,lesliebegley27,"Gibsonton, FL",Donald Trump,Florida
Donald Trump. Think about the freedom of the only way to tell you have been it.,ImarobotJimmy,"Philadelphia, PA",Donald Trump,Pennsylvania
" Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott‚?¶",MariJoDeLeon,"California, USA",Donald Trump,California
 This story holy shit! ,sloppyjonite,"5th district, AL",Donald Trump,Alabama
Mark Cuban Says He Wouldn't Hire Donald Trump  via  ??∑????????≥Ô∏è #FridayThoughts‚?¶ ,Rom_TAlan,"Ohio, USA and the World.",Donald Trump,Ohio
 You know how to make America great again? Tell Donald Trump to go to hell.Tell all GOP to go to hell by...-voting Bide‚?¶,rob0349,"New York, USA",Donald Trump,New York
" Biden couldn‚??t fill a high school gym, but Donald Trump (????èº) is behind in the polls? ",dustinschumach3,"Minnesota, USA",Donald Trump,Minnesota
" ""It just seems that the economy such much better under the Democrats than under Republicans."" -- Donald trumpWe're in a #‚?¶",pamjoy67,"Scorchio, AZ",Donald Trump,Arizona
" Biden couldn‚??t fill a high school gym, but Donald Trump (????èº) is behind in the polls? ",toekneejo_toni,"Texas, USA",Donald Trump,Texas
" Biden couldn‚??t fill a high school gym, but Donald Trump (????èº) is behind in the polls? ",13pugz,"Michigan, USA",Donald Trump,Michigan
" Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac‚?¶",Bobby_Don_Welch,"Kingwood, TX",Donald Trump,Texas
Note-Donald does not want democracy.He wants to be leader for life. With complete authority and immunityDon‚??t‚?¶ ,bobbyzip,"Meadowbrook, PA",Donald Trump,Pennsylvania
 Wisconsin voters are already furious at how their state politicians are handling‚??or not handling‚??coronavirus. Now they g‚?¶,Shekel1117,"Indiana, USA",Donald Trump,Indiana
 Pollak: 11 Shining Successes of President Donald Trump‚??s First Term  via ,mikepamelap,Virginia,Donald Trump,Virginia
" ""It's like a gangster culture,"" Robert De Niro says of Donald Trump's presidency. ""He has no concept about what the right thing‚?¶",jainsworth,"Guilford, CT",Donald Trump,Connecticut
 There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect‚?¶,inzanelaw,"Washington, USA",Donald Trump,Washington
" Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott‚?¶",wilson_tricia,"Cincinnati, OH",Donald Trump,Ohio
" Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac‚?¶",MyLastTimeMan,"Orlando, FL",Donald Trump,Florida
 Racist men tend to love the opportunity for total self-abasement that kissing Donald Trump's ass pro‚?¶ ,rowyourbot,"Palo Alto, CA",Donald Trump,California
" ""COVID-19 is still raging. Trump is still lying."" ",lmmlawson96,"Baltimore, MD",Donald Trump,Maryland
 Lil Wayne has just endorsed Donald Trump.,SarahOBrien205,"Kansas, USA",Donald Trump,Kansas
" Biden couldn‚??t fill a high school gym, but Donald Trump (????èº) is behind in the polls? ",McReadyLaurieA,"South Carolina, USA",Donald Trump,South Carolina
 We didn't worry about civil unrest over voting before Donald trump.trump is bad for America. #VoteHimOut,DrGrandma,Ohio,Donald Trump,Ohio
 There‚??s a reason Donald Trump Jr. never pushes back on his cocaine usage,SzalaiNick,"Indianapolis, IN",Donald Trump,Indiana
 The FBI was investigating Hunter Biden's overseas business deals in December 2019 while Donald Trump was being impeached‚?¶,GraffeoSBMom,Illinois,Donald Trump,Illinois
" Biden couldn‚??t fill a high school gym, but Donald Trump (????èº) is behind in the polls? ",justhefax_mam,Florida,Donald Trump,Florida
" Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott‚?¶",BrendaStarrAZ,"ThisIsMAGACountry, Arizona",Donald Trump,Arizona
" Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac‚?¶",bbmom21,New Jersey,Donald Trump,New Jersey
 DA Larry Krasner says no vote interference and intimidation will be tolerated. Trump responsible for division and viol‚?¶,TCRG2012,"Ingleside, TX",Donald Trump,Texas
 Donald Trump is on track to become the worst jobs president in modern American history. ,tlhicks713,"Connecticut, USA",Donald Trump,Connecticut
" ""Actually, I think that Donald Trump does have a plan...his plan is to take away health care from tens of millions of Americans in‚?¶",elkeded,"Austin, TX",Donald Trump,Texas
" GDP rose last quarter, but visits to food banks haven‚??t slowed, and poverty has grown. We‚??re on track for the worst economic‚?¶",jrohrich,"California, USA",Donald Trump,California
 Donald Trump is a man without character. It‚??s why I wrote ‚??A Warning‚?ù...and it‚??s why me &amp; my colleagues have spoken out‚?¶,unicornluvluv,"Los Angeles, CA",Donald Trump,California
" PROTESTS PLANNED TO OPPOSE A STOLEN ELECTIONActivist groups plan to hit the streets next week, if President Donald Tru‚?¶",Renee74marshall,"California, USA",Donald Trump,California
 There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect‚?¶,lovethydog9,"South Carolina, USA",Donald Trump,South Carolina
 Former Apprentice Staffer Noel Casler Accuses Donald Trump of Drug Use and Inappropriate Behavior  v‚?¶,SpeakBravely,"Twin Cities, Minnesota",Donald Trump,Minnesota
 At the precise moment Donald Trump was impeached for expressing concern about potential Hunter Biden corruption in Ukraine‚?¶,ErickRobertson,"Chicago, IL, USA",Donald Trump,Illinois
" I‚??ve said it before, I‚??ll say it again, and I‚??ll keep saying it until he‚??s held accountable: Donald Trump is the most corrupt‚?¶",tripoley1966,"Florida, USA",Donald Trump,Florida
 ‚??My choice in the 2020 general election is between a personally offensive outsider who signs good policies into law and a‚?¶,RabbiYaakovRich,"Dallas, TX",Donald Trump,Texas
"Im DEFINITELY not saying Biden‚??s track record is squeaky clean (neither is Kamala‚??s). But at the end of the day, Do‚?¶ ",Micah_Not_Micha,"Indianapolis, IN",Donald Trump,Indiana
" Biden couldn‚??t fill a high school gym, but Donald Trump (????èº) is behind in the polls? ",sgarner722,"Cumming, GA",Donald Trump,Georgia
" Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac‚?¶",DeborahSharp20,"Fruit Cove, FL",Donald Trump,Florida
 Mainstream media and their friends in Silicon Valley have covered up and actively suppressed the Hunter Biden corruption‚?¶,WildAboutHarry9,"Denver, CO",Donald Trump,Colorado
 Donald Trump is on track to become the worst jobs president in modern American history. ,lornayvonne,Florida,Donald Trump,Florida
" Golf legend Jack Nicklaus explains why he voted for President Donald Trump:  ""delivered on his promises"" and ""worked for‚?¶",Timothy1339,New Jersey,Donald Trump,New Jersey
 The FBI was investigating Hunter Biden's overseas business deals in December 2019 while Donald Trump was being impeached‚?¶,MissFastTrack,"Port Orange, FL",Donald Trump,Florida
"  I don‚??t want Hunter Biden‚??s laptop. I want Donald Trump‚??s taxes, his medical records, Ivanka‚??s and Jared‚?¶",heathmocha,Kansas,Donald Trump,Kansas
" Ari Fleischer: ""Why my 2020 choice for president will be Donald Trump"" via   ‚?¶",DonaldHills6,"Connecticut, USA",Donald Trump,Connecticut
 Donald Trump is on track to become the worst jobs president in modern American history. ,Mobypoe,"California, USA",Donald Trump,California
"  Love him or hate him, but Donald Trump‚??s head would make a *perfect* anvil ???",Covfefe191,CA,Donald Trump,California
" A fake ""intelligence"" document about Hunter Biden that was later disseminated by close associates of President Donald‚?¶",1stSvelteCelt,"Gainesville, FL",Donald Trump,Florida
Open Letter to President Donald Trump ,knollk1008,"Collegeville, PA",Donald Trump,Pennsylvania
" It is Friday, October 30, 2020. One citizen, I call for the removal from office by any legal means, the impeached fascist‚?¶",dancin_gramps,"Albany, NY",Donald Trump,New York
" Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott‚?¶",MGoldmanDisney,"Canajoharie, NY",Donald Trump,New York
 David Letterman calling Donald Trump a straight-up racist. In 2012... ,Ceebarretto1,"Maryland, USA",Donald Trump,Maryland
 Fox News cut away from Donald Trump's campaign rally in Florida and aired Joe Biden's campaign rally speech in full.,tmspmike,"North Bend, WA",Donald Trump,Washington
 Pollak: 11 Shining Successes of President Donald Trump‚??s First Term  via ,UPMHPM,"Ohio, USA",Donald Trump,Ohio
Opinion: Jack Nicklaus' support of Donald Trump disappointing but not surprising  via ,abestimator,"Boston, MA",Donald Trump,Massachusetts
" MSNBC‚??s Joe Scarborough: ""Donald Trump is going to be able to run around and say this last quarter the economy grew at a r‚?¶",Markuswelbemd,"The Woodlands, TX",Donald Trump,Texas
" President Trump has been saying that a winner has to be announced on Election Night. In reality, multiple laws require cons‚?¶",thisbearbites,"Phoenix, AZ",Donald Trump,Arizona
" If you were wondering why: Snyder, a self-described ""proud Republican,"" told Fox he voted for Biden. ""I'm an American first‚?¶",Funslinger62,"Mississippi, USA",Donald Trump,Mississippi
" Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac‚?¶",edlongii,"Shaker Heights, Ohio",Donald Trump,Ohio
" Satan, Trump, Donald ... aka the Gold STD.",BionicOJ,"Austin, TX",Donald Trump,Texas
" Biden couldn‚??t fill a high school gym, but Donald Trump (????èº) is behind in the polls? ",NCaliCountryUSA,"California, USA",Donald Trump,California
" Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac‚?¶",senraba,"Las Cruces, NM",Donald Trump,New Mexico
 An American President attacking American democracy in advance of an election has simply never been seen before. But Donald T‚?¶,ranter502again,"Louisville, KY",Donald Trump,Kentucky
 Remember... it‚??s not just Donald Trump being voted out.... it‚??s his entire family and garbage administration that‚??ll be ki‚?¶,MariJoDeLeon,"California, USA",Donald Trump,California
Lil Wayne Donald Trump | Lil Wayne Praises Trump 'Platinum Plan' for Black Americans ,SOREADY4LUV,"Las Vegas, NV",Donald Trump,Nevada
" Biden couldn‚??t fill a high school gym, but Donald Trump (????èº) is behind in the polls? ",AnnaFitting,"New York, USA",Donald Trump,New York
 ‚??My choice in the 2020 general election is between a personally offensive outsider who signs good policies into law and a‚?¶,dsteding,"Florida, Tennessee",Donald Trump,Tennessee
 2020 Electoral College Forecast Map Donald Trump vs Joe BidenOctober 30~ 2020.My Analysis Post: ‚?¶,pid_news,Missouri,Donald Trump,Missouri
I‚??m taking a break from my social media so I don‚??t have to see anything about Donald Trump! I am so thankful for so‚?¶ ,realshawncyrus,"Rio Rancho, NM",Donald Trump,New Mexico
" Biden couldn‚??t fill a high school gym, but Donald Trump (????èº) is behind in the polls? ",Cindylouwhoo62,"Tennessee, USA",Donald Trump,Tennessee
" TO DONALD J. TRUMPSir, I and my attorney Robbie Kaplan, are ready! So is every woman who has ever been silenced! So is‚?¶",RiskAlert,"Parkland, FL",Donald Trump,Florida
" Five days from Election Day, it's clear who's the favorite. And it's not Donald Trump.",greco1412,New York ,Donald Trump,New York
" Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott‚?¶",BobSchless,"Trumbull, CT",Donald Trump,Connecticut
 Watch ‚??Dirty Money Slumlord Millionaire‚?ù on Netflix portraying how Jared Kushner came to be one of th‚?¶ ,LivesPitbull,"Colorado, USA",Donald Trump,Colorado
 The FBI was investigating Hunter Biden's overseas business deals in December 2019 while Donald Trump was being impeached‚?¶,BNDFranklin,"Everett, WA",Donald Trump,Washington
" Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac‚?¶",jeffl76,"Maine, United States",Donald Trump,Maine
" Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott‚?¶",thanosgt,"Washington, DC",Donald Trump,Washington
" ""COVID-19 is still raging. Trump is still lying."" ",KenWarnock,"Royal Oak, Michigan",Donald Trump,Michigan
  Donald Trump's misery is palpable right now.,Nancy_Serves,Idaho,Donald Trump,Idaho
 There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect‚?¶,katie_roll29,"New York, USA",Donald Trump,New York
 Lil Wayne has just endorsed Donald Trump.,darlaindallas,"Texas, USA",Donald Trump,Texas
" I was told Biden would skip debates and then it turned out only Donald Trump, Lindsey Graham, David Perdue, and Roger‚?¶",JoeWilder01,"Texas, USA",Donald Trump,Texas
" GDP rose last quarter, but visits to food banks haven‚??t slowed, and poverty has grown. We‚??re on track for the worst economic‚?¶",JackieStoppel,"Arkansas, USA",Donald Trump,Arkansas
" Biden couldn‚??t fill a high school gym, but Donald Trump (????èº) is behind in the polls? ",Coach_JD,"Henderson, NV",Donald Trump,Nevada
 Lindsey Graham describing what Republicans Really think about Donald #Trump ??±?§≠ ,theheatherettes,"UK, EU, NYC & Hollywood, CA",Donald Trump,California
 There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect‚?¶,Sdw50012402,MA,Donald Trump,Massachusetts
" Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac‚?¶",schober_henry,"Philadelphia, PA",Donald Trump,Pennsylvania
 Mika: What has Donald Trump did for the black community? Mayor Keisha Bottoms: He has been putting us on the receiving‚?¶,skidmore11,Iowa,Donald Trump,Iowa
"  I don‚??t want Hunter Biden‚??s laptop. I want Donald Trump‚??s taxes, his medical records, Ivanka‚??s and Jared‚?¶",KathleenRogalle,"New Jersey, USA",Donald Trump,New Jersey
" Biden couldn‚??t fill a high school gym, but Donald Trump (????èº) is behind in the polls? ",ritareal,"Washington, DC",Donald Trump,Washington
 Wisconsin voters are already furious at how their state politicians are handling‚??or not handling‚??coronavirus. Now they g‚?¶,OconnorPeggy,"Virginia, USA",Donald Trump,Virginia
" A fake ""intelligence"" document about Hunter Biden that was later disseminated by close associates of President Donald‚?¶",kathijohnson71,"Oregon, USA",Donald Trump,Oregon
" A fake ""intelligence"" document about Hunter Biden that was later disseminated by close associates of President Donald‚?¶",GVForsyth,"California, USA",Donald Trump,California
" GDP rose last quarter, but visits to food banks haven‚??t slowed, and poverty has grown. We‚??re on track for the worst economic‚?¶",Anclaire22,"Maui,HI",Donald Trump,Hawaii
 There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect‚?¶,LucyHarney,SC,Donald Trump,South Carolina
" Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott‚?¶",LoyAnnAz,"Phoenix, AZ",Donald Trump,Arizona
" Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac‚?¶",Mobypoe,"California, USA",Donald Trump,California
 Pollak: 11 Shining Successes of President Donald Trump‚??s First Term  via ,Cindylouwhoo62,"Tennessee, USA",Donald Trump,Tennessee
" Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac‚?¶",ASatMV,"California, USA",Donald Trump,California
 There‚??s a reason Donald Trump Jr. never pushes back on his cocaine usage,gesten22,Hawaii,Donald Trump,Hawaii
  NEW: Record-setting levels of U.S. coronavirus cases are coming at the worst possible time politically for Donal‚?¶,egregory962,"Missouri, USA",Donald Trump,Missouri
" Joe Biden gets aging Bon Jovi and CHER, President Donald Trump gets Lil Wayne.",Brassupright,"Ft. Smith, AR",Donald Trump,Arkansas
" No one deserves a more thorough drubbing on Election Day than Donald Trump.Well, maybe Lindsey Graham does,&amp; Mitch McC‚?¶",kilbride_gary,"Miami, FL",Donald Trump,Florida
"  ""Just the facts, ma'am""Thanks to lyin' Donald Trump-Over 23M Americans on unemployment!Tens of thousan‚?¶",tabora_X,"Chicago, IL",Donald Trump,Illinois
" The headline is ""Trump bet against science."" NO!!! HE BET AGAINST AMERICA AND 250,000 ARE NOW DEAD BECAUSE OF THIS.‚?¶",Jdesilva32,"Silver Spring, MD, ",Donald Trump,Maryland
 Texas! You think Donald Trump is pro-2nd Amendment; anti-abortion; anti-immigrant; God's choice. Y‚?¶ ,JoeZvanut,"Mint Hill, NC",Donald Trump,North Carolina
 Donald Trump; IMPEACHED ,mikegrenon,"Pawtucket,Rhode Island",Donald Trump,Rhode Island
 5. There's Trump's own considerable business interests in Turkey. ,PeneCell,"Texas, USA",Donald Trump,Texas
 The president's son delivered a whopper during a Fox News interview. ,bagglo,"Tonto Basin,AZ",Donald Trump,Arizona
" I haven‚??t seen my 90 y.o. mother since last Christmas because of Covid, and now won‚??t be able to see her this Thanksgiving or‚?¶",Queenie49690863,Florida ,Donald Trump,Florida
 Lindsey Graham describing what Republicans Really think about Donald #Trump ??±?§≠ ,thekeyshasapp,"Altamonte Springs, FL",Donald Trump,Florida
 This is not an issue of telling people who they should vote for based on race.  This is calling ou‚?¶ ,4budgetservices,Wisconsin,Donald Trump,Wisconsin
" Biden couldn‚??t fill a high school gym, but Donald Trump (????èº) is behind in the polls? ",RichardFee2,"Boca Raton, FL",Donald Trump,Florida
" Biden couldn‚??t fill a high school gym, but Donald Trump (????èº) is behind in the polls? ",RabbiYaakovRich,"Dallas, TX",Donald Trump,Texas
 Donald Trump is the worst president we've ever had.,RiskAlert,"Parkland, FL",Donald Trump,Florida
" PROTESTS PLANNED TO OPPOSE A STOLEN ELECTIONActivist groups plan to hit the streets next week, if President Donald Tru‚?¶",Stormykit,"Pennsylvania, USA",Donald Trump,Pennsylvania
" Donald Trump Jr. said covid-19 deaths are at 'almost nothing.' The virus killed more than 1,000 Americans the same day. https:‚?¶",inzanelaw,"Washington, USA",Donald Trump,Washington
 At the precise moment Donald Trump was impeached for expressing concern about potential Hunter Biden corruption in Ukraine‚?¶,RabbiYaakovRich,"Dallas, TX",Donald Trump,Texas
 The Chris Voss Show Podcast ‚?? White House Inc.: How Donald Trump Turned the Presidency into a Business by Dan Alexander‚?¶,SteveDavisMktg,"Texas, USA",Donald Trump,Texas
 ‚??They lied to you about Donald Trump. They lied about Brett Kavanaugh. They lied about children in cages. Hell- they eve‚?¶,LINC0LNHAWK,"New Jersey, USA",Donald Trump,New Jersey
" Thank you to Dave Rubin, author of ‚??Don‚??t Burn This Book‚?ù, just announced on  that he is voting for your‚?¶",TCarter1961,"Hilliard, Florida",Donald Trump,Florida
" Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott‚?¶",LasaterAndrew,"Kansas, USA",Donald Trump,Kansas
 Lil Wayne said Black Lives Matter has nothing to do with him because he‚??s rich. Now I understand why he supports Donald Tr‚?¶,FTDJLEE3030,"Florida, USA",Donald Trump,Florida
 Donald Trump is on track to become the worst jobs president in modern American history. ,Ariz0nian,"Arizona, USA",Donald Trump,Arizona
" Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott‚?¶",BrandanJanssens,"Texas, USA",Donald Trump,Texas
" Karmic balance might look something like Donald Trump imprisoned for life, with no hair stylist, no make-up... getting his‚?¶",Frank42976003,"California, USA",Donald Trump,California
 The FBI was investigating Hunter Biden's overseas business deals in December 2019 while Donald Trump was being impeached‚?¶,Eastball59,Texas,Donald Trump,Texas
" Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac‚?¶",gesten22,Hawaii,Donald Trump,Hawaii
" Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott‚?¶",jrohrich,"California, USA",Donald Trump,California
 Donald Trump is on track to become the worst jobs president in modern American history. ,tripoley1966,"Florida, USA",Donald Trump,Florida
Sr. President Donald Trump: Revoke the American visa for Mr. Juan Manuel Santos and his entire family. - Sign the P‚?¶ ,pajarraco2000,"Miami, FL",Donald Trump,Florida
 Donald Trump effectively placed 3 young judges on the Supreme Court. The court is now majority conservative (6-3) and with‚?¶,phantasticnat,"California, USA",Donald Trump,California
" Biden couldn‚??t fill a high school gym, but Donald Trump (????èº) is behind in the polls? ",zanderjazmusic,Oklahoma,Donald Trump,Oklahoma
 Democrat nightmare: The daily Rasmussen Reports poll that tracks black support for Donald Trump shows the president sitt‚?¶,Eastball59,Texas,Donald Trump,Texas
"‚??Neither party is doing enough for black people, but I‚??m gonna vote for Donald Trump!‚?ù ‚?? ?§°",Micah_Not_Micha,"Indianapolis, IN",Donald Trump,Indiana
 The president's son delivered a whopper during a Fox News interview. ,djradar,"Fayetteville, AR",Donald Trump,Arkansas
 Remember... it‚??s not just Donald Trump being voted out.... it‚??s his entire family and garbage administration that‚??ll be ki‚?¶,DerekAWynne,"Indiana, USA",Donald Trump,Indiana
" Hackers stole $2.3 million from the Wisconsin Republican Party intended for President Donald Trump's reelection effort, state part‚?¶",djradar,"Fayetteville, AR",Donald Trump,Arkansas
